Date,Close/Last,Volume,Open,High,Low
06/09/2023,$369.22,2202370,$370.46,$372.105,$367.76
06/08/2023,$367.59,2595273,$369.36,$369.77,$365.845
06/07/2023,$371.39,3714519,$379.29,$380.50,$368.26
06/06/2023,$379.96,2758722,$372.95,$380.38,$371.805
06/05/2023,$370.52,2316299,$372.75,$372.795,$368.53
06/02/2023,$373.73,2501459,$374.59,$375.82,$372.15
06/01/2023,$370.88,3389808,$367.16,$371.09,$366.05
05/31/2023,$365.02,10695410,$365.00,$365.70,$357.85
05/30/2023,$367.50,3430234,$376.28,$376.63,$366.20
05/26/2023,$374.37,2691345,$371.00,$375.68,$370.05
05/25/2023,$370.04,3752240,$367.91,$370.99,$364.91
05/24/2023,$368.50,2655686,$369.37,$369.61,$365.58
05/23/2023,$373.75,3979249,$381.52,$382.03,$370.44
05/22/2023,$384.53,1808828,$384.99,$387.37,$384.18
05/19/2023,$385.57,3369116,$392.00,$392.20,$385.14
05/18/2023,$392.02,3729697,$387.11,$392.02,$385.81
05/17/2023,$387.00,3260404,$382.20,$387.52,$379.13
05/16/2023,$380.24,2762816,$382.60,$383.60,$377.3172
05/15/2023,$383.41,1957649,$381.87,$383.66,$380.525
05/12/2023,$381.92,2044079,$384.49,$385.021,$378.80
05/11/2023,$383.39,1901218,$382.21,$385.72,$379.26
05/10/2023,$382.54,1940761,$385.99,$386.755,$377.65
05/09/2023,$382.94,2036429,$383.88,$386.17,$382.70
05/08/2023,$385.51,1719712,$384.01,$387.46,$383.77
05/05/2023,$384.66,2683136,$380.57,$385.15,$378.24
05/04/2023,$376.12,2814954,$374.50,$376.85,$372.14
05/03/2023,$374.90,1970904,$376.67,$379.55,$374.33
05/02/2023,$376.03,2478715,$377.77,$378.84,$370.94
05/01/2023,$379.86,1745122,$380.49,$382.455,$378.96
04/28/2023,$380.03,3107278,$372.53,$381.93,$371.51
04/27/2023,$373.67,3859931,$366.58,$374.98,$361.00
04/26/2023,$366.76,2594201,$369.64,$372.215,$366.09
04/25/2023,$368.53,2244992,$373.50,$374.58,$368.3198
04/24/2023,$374.73,1886286,$375.15,$377.64,$373.62
04/21/2023,$375.24,3537820,$375.72,$377.425,$373.26
04/20/2023,$375.00,2125035,$371.45,$375.19,$369.69
04/19/2023,$372.80,1795447,$372.99,$374.15,$371.155
04/18/2023,$372.32,2087976,$373.95,$373.95,$369.96
04/17/2023,$372.76,2432924,$373.36,$374.10,$368.39
04/14/2023,$372.43,2254716,$370.00,$373.39,$369.11
04/13/2023,$369.65,2611866,$363.82,$369.75,$363.3887
04/12/2023,$361.78,2268779,$366.08,$368.60,$361.025
04/11/2023,$364.13,3033867,$363.42,$365.19,$361.16
04/10/2023,$360.14,1559126,$359.71,$360.93,$357.58
04/06/2023,$361.47,2357712,$361.21,$362.035,$355.97
04/05/2023,$363.79,2239771,$363.48,$365.13,$361.61
04/04/2023,$363.90,2198730,$366.80,$369.12,$363.38
04/03/2023,$366.47,2978067,$362.61,$366.66,$361.75
03/31/2023,$363.41,3376796,$361.13,$363.65,$360.38
03/30/2023,$359.26,2480656,$360.95,$362.59,$358.24
03/29/2023,$359.53,2327006,$357.38,$360.025,$355.82
03/28/2023,$354.33,1695997,$355.56,$355.90,$352.8014
03/27/2023,$354.62,2420474,$355.57,$357.89,$354.28
03/24/2023,$351.63,2971590,$350.45,$352.42,$346.31
03/23/2023,$354.37,2598053,$352.41,$359.855,$351.84
03/22/2023,$351.03,2596388,$354.61,$360.00,$351.03
03/21/2023,$354.57,3766785,$354.37,$356.20,$350.83
03/20/2023,$349.32,3864278,$348.00,$353.835,$347.34
03/17/2023,$349.66,8426918,$350.25,$351.94,$346.86
03/16/2023,$348.00,3768216,$346.62,$348.69,$340.28
03/15/2023,$348.08,3082755,$346.05,$348.395,$343.64
03/14/2023,$352.82,3413323,$351.00,$356.11,$348.56
03/13/2023,$344.71,3308396,$343.63,$349.86,$340.21
03/10/2023,$347.11,3176505,$352.41,$353.05,$345.23
03/09/2023,$354.44,2414831,$359.25,$364.015,$353.91
03/08/2023,$359.03,1634442,$358.61,$361.695,$357.28
03/07/2023,$359.94,1660771,$367.17,$369.15,$359.5545
03/06/2023,$366.93,2789640,$361.82,$368.53,$361.26
03/03/2023,$361.50,2174952,$358.12,$361.69,$357.09
03/02/2023,$355.57,2526001,$353.63,$356.62,$351.69
